Provinsi,Volume_2023_ton,Nilai_2023_JutaRp,Harga_2023_RpPerKg,Share_2023_Persen,HargaShare_2023,Volume_2024_ton,Nilai_2024_JutaRp,Harga_2024_RpPerKg,Share_2024_Persen,HargaShare_2024
ACEH,45493.0,3293519.63,72396.18,44.4919,32210.4609,44896.0,3232837.46,72007.25,48.239,34735.5481
SUMATERA UTARA,34265.0,2213694.97,64605.14,9.4144,6082.1811,35392.0,2126572.9,60086.26,9.6718,5811.4517
SUMATERA BARAT,6571.0,579778.36,88232.9,2.8419,2507.4641,4866.0,400736.92,82354.48,1.8515,1524.8103
RIAU,3579.0,250163.64,69897.64,3.182,2224.1315,5981.0,466050.53,77921.84,4.692,3656.1012
JAMBI,19.0,1120.86,58992.37,0.0394,23.2514,24.0,1358.1,56587.29,0.048,27.1853
SUMATERA SELATAN,33872.0,2204580.33,65085.63,10.7606,7003.6258,40560.0,2822823.04,69596.23,13.7358,9559.5913
BENGKULU,5705.0,617441.75,108228.18,3.6059,3902.5487,3806.0,319400.84,83920.35,2.6342,2210.6618
LAMPUNG,49697.0,3328175.07,66969.34,31.2518,20929.1544,45034.0,2937711.67,65233.19,25.373,16551.6073
KEP. BANGKA BELITUNG,8807.0,600486.92,68182.91,82.2777,56099.3014,9309.0,617412.85,66324.29,82.235,54541.7711
KEP. RIAU,3423.0,272258.83,79538.07,11.1987,8907.2443,4921.0,386798.27,78601.56,12.3336,9694.4352
DKI JAKARTA,211.0,9429.55,44689.81,10.7215,4791.438,206.0,21571.0,104713.59,8.7511,9163.5514
JAWA BARAT,132599.0,8272624.16,62388.28,11.7183,7310.8588,124010.0,7941176.02,64036.58,9.5531,6117.4767
JAWA TENGAH,34884.0,2271168.03,65106.3,6.8547,4462.8526,34223.0,2273802.19,66440.76,6.1807,4106.5005
DI YOGYAKARTA,7811.0,552647.97,70752.52,8.7843,6215.1144,6749.0,456294.57,67609.21,6.9225,4680.2323
JAWA TIMUR,118330.0,6838393.47,57790.87,9.4241,5446.2459,123647.0,7166363.19,57958.25,8.8782,5145.6544
BANTEN,16515.0,1466307.45,88786.4,15.2534,13542.9381,17021.0,1443558.73,84810.45,14.8006,12552.4663
BALI,8869.0,486547.68,54859.36,28.2849,15516.8924,8649.0,486350.54,56232.0,26.3794,14833.6396
NUSA TENGGARA BARAT,194648.0,13716956.31,70470.57,20.0635,14138.8599,196644.0,13943612.89,70907.9,20.311,14402.1039
KALIMANTAN BARAT,4520.0,242133.02,53569.25,7.4521,3992.037,4726.0,244706.03,51778.68,5.1238,2653.0425
KALIMANTAN TENGAH,6407.0,213444.86,33314.32,5.2372,1744.7286,6191.0,209866.26,33898.6,4.5312,1536.0301
KALIMANTAN SELATAN,8249.0,667399.1,80906.67,6.8866,5571.6882,12537.0,905769.26,72247.69,8.2788,5981.2412
KALIMANTAN TIMUR,30217.0,2642725.21,87458.23,17.0275,14891.9487,29438.0,2598786.31,88279.99,12.0074,10600.1522
KALIMANTAN UTARA,9884.0,938456.43,94947.03,1.0076,956.6871,9992.0,942650.04,94340.48,1.1443,1079.5067
SULAWESI UTARA,321.0,20066.49,62512.43,0.0964,60.2838,893.0,53748.51,60188.71,0.149,89.6904
SULAWESI TENGAH,28852.0,1974677.63,68441.62,3.8769,2653.3984,37599.0,2322534.65,61771.18,4.6802,2890.99
SULAWESI SELATAN,66577.0,3986432.34,59877.02,1.6194,969.6202,68684.0,4172786.96,60753.41,1.592,967.1953
SULAWESI TENGGARA,35735.0,1971674.72,55174.89,8.6403,4767.2551,35826.0,1934375.83,53993.63,8.5237,4602.2598
GORONTALO,10659.0,602580.75,56532.58,21.3099,12047.0371,8340.0,485519.66,58215.79,15.1271,8806.3349
SULAWESI BARAT,19984.0,1004483.94,50264.41,20.019,10062.4486,27143.0,1465047.99,53975.17,25.0579,13525.0596
MALUKU,13877.0,1387711.5,100000.83,5.5216,5521.6256,9907.0,990666.33,99996.6,3.6735,3673.3521
MALUKU UTARA,984.0,69186.62,70311.61,0.7335,515.7677,1206.0,104627.37,86755.7,0.8341,723.6542
PAPUA,73.0,4386.24,60085.48,0.8219,493.8347,43.0,3003.77,69855.12,0.5429,379.216
